name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock
(주)드림어스컴퍼니,60570,16-Dec,68.33,-9986957,387907,0,0,0,-9986957,0,1625135,1282753,-266793
(주)드림어스컴퍼니,60570,17-Dec,49.9,-14073785,406725,0,0,0,-14092021,18236,853344,2337007,0
(주)드림어스컴퍼니,60570,18-Dec,52.85,-20587045,421425,0,0,0,-21314254,727209,1881041,897835,0
(주)드림어스컴퍼니,60570,19-Dec,50.41,-47935284,533101,0,0,0,-48005522,70238,2405455,1138181,0
(주)드림어스컴퍼니,60570,20-Dec,42.63,-25048196,172076,0,0,0,-23067873,-1980323,1036387,3900339,0
(주)디비아이엔씨,12030,10-Dec,-26.94,-1972423,19316944,,0,0,4221758,412709,10336723,20477144,10824956
(주)디비아이엔씨,12030,11-Dec,-14.21,6083180,21332019,,0,0,4798467,1284713,3771638,25088631,12425087
(주)디비아이엔씨,12030,12-Dec,-23.12,5775206,19394659,,0,0,2952394,2822812,2442613,22342196,3410265
(주)디비아이엔씨,12030,13-Dec,-30.08,-79262968,18120378,0,0,0,-63801967,-15461001,2653387,40479471,-40855461
(주)디비아이엔씨,12030,14-Dec,-29.93,-165050028,16649211,0,0,0,-124525731,-34148069,4089191,63800475,-3357544
(주)디비아이엔씨,12030,15-Dec,42.37,-34201441,4714385,0,0,0,13186937,-10305237,4785037,23586261,1543919
(주)디비아이엔씨,12030,16-Dec,5.82,-14286120,2311020,0,0,0,-20712779,6366681,3817219,29494658,0
(주)디비아이엔씨,12030,17-Dec,8.26,-12810742,2240908,0,0,0,-776258,-12034404,2129616,19281451,0
(주)디비아이엔씨,12030,18-Dec,8.03,-4718773,5196529,0,0,0,-3975420,-743353,2444547,6785855,0
(주)디비아이엔씨,12030,19-Dec,6.8,9716890,6885701,0,0,0,4404486,5256977,2759869,9244331,0
(주)디비아이엔씨,12030,20-Dec,-6.21,11661640,5735434,0,0,0,6271086,5392319,4754400,5993140,0
(주)디앤씨미디어,263720,16-Dec,,,,,,,,,,,
(주)디앤씨미디어,263720,17-Dec,,,,,,,,,,,
(주)디앤씨미디어,263720,18-Dec,75.34,6160781,1790,0,0,0,4917413,1243368,400687,10485,-32389
(주)디앤씨미디어,263720,19-Dec,70.48,8187886,3700,0,0,0,4852476,1548863,501243,33007,-221021
(주)디앤씨미디어,263720,20-Dec,75.21,13729019,9929,0,0,0,10867447,2786701,599752,80926,46426
(주)디어유,376300,20-Dec,,,,,,,,,,,
(주)디지캡,197140,12-Dec,,,,,,,,,,,
(주)디지캡,197140,13-Dec,,,,,,,,,,,
(주)디지캡,197140,14-Dec,,,,,,,,,,,
(주)디지캡,197140,15-Dec,,,,,,,,,,,
(주)디지캡,197140,16-Dec,,,,,,,,,,,
(주)디지캡,197140,17-Dec,,,,,,,,,,,
(주)디지캡,197140,18-Dec,,,,,,,,,,,
(주)디지캡,197140,19-Dec,28.81,797731,395423,0,0,0,1177494,-379763,262209,395423,0
(주)디지캡,197140,20-Dec,7.59,1259857,646320,0,0,0,1325173,-65316,74739,648041,0
(주)디지틀조선일보,33130,10-Dec,31.93,3035594,897,,0,0,2944298,91296,237386,897,-31838
(주)디지틀조선일보,33130,11-Dec,31,4266689,0,,0,0,4169607,97082,330216,0,-49357
(주)디지틀조선일보,33130,12-Dec,36.75,7531273,0,,0,0,6408924,1122349,1401961,0,-86
(주)디지틀조선일보,33130,13-Dec,34.92,4814298,0,0,0,0,4222671,591627,1176880,0,-198511
(주)디지틀조선일보,33130,14-Dec,39.01,3716239,0,0,0,0,3586897,334834,668162,0,-422338
(주)디지틀조선일보,33130,15-Dec,47.85,4046512,0,0,0,0,5003365,569409,678517,0,-162647
(주)디지틀조선일보,33130,16-Dec,51.82,5369861,0,0,0,0,4656305,713556,604134,0,105476
(주)디지틀조선일보,33130,17-Dec,55.47,6254421,0,0,0,0,5300249,954172,636074,0,53215
(주)디지틀조선일보,33130,18-Dec,51.9,7280585,0,0,0,0,5140110,2140475,842207,0,74999
(주)디지틀조선일보,33130,19-Dec,48.83,4377482,94619,0,0,0,3463027,914455,1078448,94619,247579
(주)디지틀조선일보,33130,20-Dec,53.87,2710720,59876,0,0,0,1833292,877428,1023647,59876,100411
(주)딥노이드,315640,17-Dec,,,,,,,,,,,
(주)딥노이드,315640,18-Dec,,,,,,,,,,,
(주)딥노이드,315640,19-Dec,,,,,,,,,,,
(주)딥노이드,315640,20-Dec,,,,,,,,,,,
(주)라이프시맨틱스,347700,18-Dec,,,,,,,,,,,
(주)라이프시맨틱스,347700,19-Dec,,,,,,,,,,,
(주)라이프시맨틱스,347700,20-Dec,,,,,,,,,,,
(주)로지시스,67730,10-Dec,,,,,,,,,,,
(주)로지시스,67730,11-Dec,,,,,,,,,,,
(주)로지시스,67730,12-Dec,,,,,,,,,,,
(주)로지시스,67730,13-Dec,,,,,,,,,,,
(주)로지시스,67730,14-Dec,,,,,,,,,,,
(주)로지시스,67730,15-Dec,,,,,,,,,,,
(주)로지시스,67730,16-Dec,,,,,,,,,,,
(주)로지시스,67730,17-Dec,,,,,,,,,,,
(주)로지시스,67730,18-Dec,,,,,,,,,,,
(주)로지시스,67730,19-Dec,,,,,,,,,,,
(주)로지시스,67730,20-Dec,,,,,,,,,,,
(주)룽투코리아,60240,10-Dec,0.63,-7195351,368314,,0,0,-9904225,2708873,135550,368314,0
(주)룽투코리아,60240,11-Dec,-22.59,-7933554,408815,,0,0,-8040075,106521,82311,408815,0
(주)룽투코리아,60240,12-Dec,4.68,872408,268878,,0,0,847430,24978,49088,268878,0
(주)룽투코리아,60240,13-Dec,17.76,-1413528,197361,0,0,0,-1413528,0,139508,197361,0
(주)룽투코리아,60240,14-Dec,26.43,-3007655,219363,0,0,0,-3007655,0,67307,219363,0
(주)룽투코리아,60240,15-Dec,-8.01,808326,273113,0,0,0,808326,0,363751,273113,0
(주)룽투코리아,60240,16-Dec,7.39,2606320,3162851,0,0,0,1899496,706824,322417,3162851,-1347599
(주)룽투코리아,60240,17-Dec,34.04,-33139159,1059870,0,0,0,-36640517,635288,205277,1059870,-7036089
(주)룽투코리아,60240,18-Dec,54.2,10567514,807251,0,0,0,21507233,1709321,849320,808176,5299610
(주)룽투코리아,60240,19-Dec,53.42,2154615,268125,0,0,0,1636986,517628,736363,1391421,-3787523
(주)룽투코리아,60240,20-Dec,59.09,3118279,16271,0,0,0,2862505,255773,351312,16271,-2154522
(주)리파인,377450,16-Dec,,,,,,,,,,,
(주)리파인,377450,17-Dec,,,,,,,,,,,
(주)리파인,377450,18-Dec,,,,,,,,,,,
(주)리파인,377450,19-Dec,,,,,,,,,,,
(주)리파인,377450,20-Dec,54.14,20371613,16185,0,0,0,16067183,4534287,339983,139564,0
(주)링네트,42500,10-Dec,32.28,4875829,507330,,0,0,3735506,1140324,2484640,771366,0
(주)링네트,42500,11-Dec,31.61,2997378,407590,,0,0,2155388,841990,1856014,2359533,0
