,name,code,year,nwcta,ebt,interest1,interest2,interest3,interest4,NI,TI,FI,FC,GVEM,ebit_1
49,(주)네오리진,94860,Dec-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,(주)네오리진,94860,Dec-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,(주)네오위즈,95660,Dec-11,6.42,100761621.0,6316638.0,0.0,19192.0,0.0,72509057.0,28252563.0,5496801.0,9625829.0,0.0,0.0
52,(주)네오위즈,95660,Dec-12,18.77,47902448.0,8690994.0,0.0,0.0,0.0,5785127.0,42117321.0,18966621.0,24992854.0,0.0,0.0
53,(주)네오위즈,95660,Dec-13,11.14,75624100.0,9302285.0,0.0,0.0,0.0,46864398.0,27721648.0,21141534.0,21938776.0,-11862432.0,84926385.0
54,(주)네오위즈,95660,Dec-14,34.64,5839422.0,5904848.0,0.0,0.0,0.0,-8177160.0,13358286.0,9457075.0,8425401.0,-8487635.0,11744270.0
55,(주)네오위즈,95660,Dec-15,43.87,-14255941.0,3804455.0,0.0,0.0,0.0,-21852100.0,7743204.0,8105525.0,5010408.0,0.0,-10451486.0
56,(주)네오위즈,95660,Dec-16,48.97,18759351.0,755788.0,0.0,0.0,0.0,9853329.0,8739619.0,4441788.0,3499351.0,0.0,19515139.0
57,(주)네오위즈,95660,Dec-17,51.27,646834.0,132940.0,0.0,0.0,0.0,-2143713.0,2790546.0,2388333.0,3241051.0,0.0,779774.0
58,(주)네오위즈,95660,Dec-18,28.38,36631787.0,38179.0,0.0,0.0,0.0,33524295.0,3107492.0,12006137.0,9184981.0,0.0,36669966.0
59,(주)네오위즈,95660,Dec-19,36.79,32412636.0,109724.0,0.0,0.0,0.0,27623322.0,4789314.0,5812818.0,8806624.0,0.0,32522360.0
60,(주)네오위즈,95660,Dec-20,39.74,68680628.0,85124.0,0.0,0.0,0.0,62167755.0,6512873.0,16261129.0,8236041.0,0.0,68765752.0
61,(주)네오위즈,95660,Dec-10,-11.28,27491964.0,10136.0,0.0,60196.0,0.0,25208848.0,2283116.0,3780682.0,1118203.0,0.0,0.0
62,(주)네오위즈홀딩스,42420,Dec-11,15.41,112060294.0,3760743.0,0.0,141879.0,0.0,76477186.0,35583108.0,8055077.0,10028072.0,0.0,0.0
63,(주)네오위즈홀딩스,42420,Dec-12,21.3,54326605.0,5199412.0,0.0,0.0,0.0,13920271.0,40314640.0,26877070.0,21918352.0,0.0,0.0
64,(주)네오위즈홀딩스,42420,Dec-13,19.63,85429207.0,5795508.0,0.0,0.0,0.0,59898207.0,24492946.0,27003888.0,22241289.0,0.0,91224715.0
65,(주)네오위즈홀딩스,42420,Dec-14,36.77,91617749.0,2255102.0,0.0,0.0,0.0,57500868.0,32224875.0,63476749.0,8084225.0,0.0,93872851.0
66,(주)네오위즈홀딩스,42420,Dec-10,4.28,38336486.0,2192972.0,0.0,69204.0,0.0,40782244.0,-2445758.0,4465504.0,3302710.0,0.0,0.0
67,(주)네오위즈홀딩스,42420,Dec-16,55.11,-4950180.0,49422.0,0.0,0.0,0.0,-8386452.0,3269868.0,7483009.0,28472084.0,0.0,-4900758.0
68,(주)네오위즈홀딩스,42420,Dec-17,57.31,-4565860.0,181448.0,0.0,0.0,0.0,-6798711.0,2232852.0,12250571.0,14546290.0,0.0,-4384412.0
69,(주)네오위즈홀딩스,42420,Dec-18,41.0,45177504.0,85035.0,0.0,0.0,0.0,43566139.0,1611366.0,23416364.0,24358665.0,0.0,45262539.0
70,(주)네오위즈홀딩스,42420,Dec-19,42.8,45080853.0,109724.0,0.0,0.0,0.0,40857864.0,6748843.0,28887726.0,15927325.0,0.0,45190577.0
71,(주)네오위즈홀딩스,42420,Dec-20,41.92,109027026.0,86001.0,0.0,0.0,0.0,94962424.0,14064602.0,64682306.0,20153696.0,0.0,109113027.0
72,(주)네오위즈홀딩스,42420,Dec-15,58.44,74971673.0,73443.0,0.0,0.0,0.0,49969692.0,26843141.0,9288825.0,2983380.0,0.0,75045116.0
73,(주)네이블커뮤니케이션즈,153460,Dec-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,(주)네이블커뮤니케이션즈,153460,Dec-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,(주)네이블커뮤니케이션즈,153460,Dec-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,(주)네이블커뮤니케이션즈,153460,Dec-14,46.9,359656.0,1044.0,0.0,0.0,0.0,487174.0,-127518.0,335606.0,1044.0,0.0,360700.0
77,(주)네이블커뮤니케이션즈,153460,Dec-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,(주)네이블커뮤니케이션즈,153460,Dec-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,(주)네이블커뮤니케이션즈,153460,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,(주)네이블커뮤니케이션즈,153460,Dec-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,(주)네이블커뮤니케이션즈,153460,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,(주)네이블커뮤니케이션즈,153460,Dec-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,(주)네이블커뮤니케이션즈,153460,Dec-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,(주)네프로아이티,950030,Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,(주)네프로아이티,950030,Mar-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,(주)넥스지,81970,Dec-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,(주)넥스지,81970,Dec-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,(주)넥스지,81970,Dec-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,(주)넥스지,81970,Dec-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,(주)넥스지,81970,Dec-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,(주)넥스지,81970,Dec-13,57.42,1469100.0,0.0,0.0,0.0,0.0,1450221.0,18879.0,367568.0,0.0,0.0,1469100.0
92,(주)넥스지,81970,Dec-17,54.43,2160575.0,3527.0,0.0,0.0,0.0,2117488.0,43087.0,208118.0,3527.0,0.0,2164102.0
93,(주)넥스지,81970,Dec-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,(주)넵튠,217270,Dec-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,(주)넵튠,217270,Dec-17,5.08,42788451.0,168058.0,0.0,0.0,0.0,32090781.0,10697670.0,51975284.0,168058.0,-110147.0,42956509.0
96,(주)넵튠,217270,Dec-18,-23.46,-38947228.0,377241.0,0.0,0.0,0.0,-36924774.0,-2022454.0,1954009.0,6771153.0,-966025.0,-38569987.0
97,(주)넵튠,217270,Dec-19,-21.46,-21396348.0,420493.0,0.0,0.0,0.0,-20788823.0,-607525.0,1207342.0,8194583.0,-8748609.0,-20975855.0
98,(주)넵튠,217270,Dec-20,6.99,55021134.0,292404.0,0.0,0.0,0.0,43838745.0,11182388.0,67597700.0,727088.0,-2192536.0,55313538.0
99,(주)넵튠,217270,Dec-16,14.33,-4132173.0,53100.0,0.0,0.0,0.0,-3993819.0,-138355.0,31641.0,53100.0,0.0,-4079073.0
100,(주)넷게임즈,225570,Dec-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,(주)넷게임즈,225570,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,(주)넷게임즈,225570,Dec-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,(주)넷게임즈,225570,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,(주)넷게임즈,225570,Dec-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,(주)넷게임즈,225570,Dec-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,(주)누리플렉스,40160,Dec-11,29.49,-118038.0,1552596.0,0.0,0.0,0.0,-821326.0,703288.0,1399634.0,2749273.0,0.0,0.0
107,(주)누리플렉스,40160,Dec-12,20.95,-10849236.0,867919.0,0.0,0.0,0.0,-11299861.0,450625.0,816105.0,885782.0,0.0,0.0
108,(주)누리플렉스,40160,Dec-13,11.0,-941541.0,820053.0,0.0,0.0,0.0,6882952.0,481805.0,404500.0,820053.0,0.0,-121488.0
109,(주)누리플렉스,40160,Dec-14,7.68,1658367.0,962148.0,0.0,0.0,0.0,1470047.0,188320.0,821591.0,962148.0,0.0,2620515.0
110,(주)누리플렉스,40160,Dec-15,20.58,4592693.0,517964.0,0.0,0.0,0.0,4417066.0,175627.0,195224.0,517964.0,0.0,5110657.0
111,(주)누리플렉스,40160,Dec-16,21.39,5988389.0,299956.0,0.0,0.0,0.0,6493314.0,-504925.0,79750.0,299956.0,0.0,6288345.0
112,(주)누리플렉스,40160,Dec-17,9.39,-4794334.0,1090969.0,0.0,0.0,0.0,-5840428.0,941711.0,122232.0,1203529.0,0.0,-3703365.0
113,(주)누리플렉스,40160,Dec-18,18.59,17361664.0,1449460.0,0.0,0.0,0.0,11747611.0,5614052.0,2161597.0,1449460.0,0.0,18811124.0
114,(주)누리플렉스,40160,Dec-19,16.79,10372736.0,1363174.0,0.0,0.0,0.0,8862080.0,1510657.0,828576.0,1374880.0,0.0,11735910.0
115,(주)누리플렉스,40160,Dec-20,15.51,1670964.0,740534.0,0.0,0.0,0.0,2867014.0,-1196050.0,379344.0,856703.0,0.0,2411498.0
116,(주)누리플렉스,40160,Dec-10,42.5,-382170.0,1329061.0,0.0,0.0,0.0,-1026354.0,644183.0,1723119.0,1337954.0,0.0,0.0
117,(주)다나와,119860,Dec-11,76.96,4882929.0,6900.0,0.0,0.0,0.0,4363445.0,519483.0,1256026.0,11322.0,0.0,0.0
