name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)파버나인,177830,Dec-19,36662405,65049351,127455268,21771742,81887630,103613096,287,5547251,45567638,-12418342,5430,-5005483,-24.24
(주)파버나인,177830,Dec-20,50080974,54986780,132677700,26635224,71541348,141689829,252,6766174,61136352,4046171,5370,8078693,7.64
(주)파이오링크,170790,Dec-10,,,,,,,,,,,,,
(주)파이오링크,170790,Dec-11,,,,,,,,,,,,,
(주)파이오링크,170790,Dec-12,,,,,,,,,,,,,
(주)파이오링크,170790,Dec-13,35650223,6624863,42028809,17191929,10212235,23096372,134,2571165,31816575,4297390,9100,4266622,13.84
(주)파이오링크,170790,Dec-14,28808940,6399031,38815180,13459882,10441194,23681124,139,2643165,28373986,2309637,14200,1709805,7.84
(주)파이오링크,170790,Dec-15,36278733,7194587,52775292,10379246,12465491,22729935,190,3428165,40309801,-2879354,7620,-2331838,-7.8
(주)파이오링크,170790,Dec-16,34957738,6058956,48046073,8628988,11677667,35813842,177,3428165,36368406,-2227641,7570,698095,-4.63
(주)파이오링크,170790,Dec-17,32802738,6377891,44732357,6402491,12236466,29431876,167,3428165,32495891,-2967704,5980,-3034953,-6.99
(주)파이오링크,170790,Dec-18,,,,,,,271,,,,4385,,
(주)파이오링크,170790,Dec-19,,,,,,,283,,,,8190,,
(주)파이오링크,170790,Dec-20,,,,,,,317,,,,13650,,
(주)파인디앤씨,49120,Dec-10,42566751,52265549,123263590,50714922,57589063,177211548,754,5934879,65674527,6398023,2475,,9.74
(주)파인디앤씨,49120,Dec-11,55492945,77107365,150794869,50552676,82538517,196588750,447,5934879,68256351,188653,2900,-5286908,0.28
(주)파인디앤씨,49120,Dec-12,35790779,57783291,131087026,48385065,67153982,147128571,190,5934879,63933044,-1812725,2650,-1930445,-2.84
(주)파인디앤씨,49120,Dec-13,52628410,62595759,124175791,33060147,70424852,160481103,225,8859125,53750938,-14996435,877,-2385162,-25.49
(주)파인디앤씨,49120,Dec-14,37173393,41480133,105181934,35259350,46580068,207192017,285,9281660,58601867,2146982,1735,9020534,3.82
