name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,income,stock_num,stock,roe,ebt,interest,facevalue
(주)로지시스,67730,Dec-16,,,,,,,433,,,,,,5490,,,,
(주)로지시스,67730,Dec-17,,,,,,,445,,,,,,3640,,,,
(주)로지시스,67730,Dec-18,,,,,,,465,,,,,,2815,,,,
(주)로지시스,67730,Dec-19,,,,,,,461,,,,,,3450,,,,
(주)로지시스,67730,Dec-20,,,,,,,434,,,,,,4650,,,,
(주)로지시스,67730,Dec-14,,,,,,,,,,,,,,,,,
(주)룽투코리아,60240,Dec-11,12100078,17393762,23433247,-37252519,19842432,21050152,94,18663625,3590815,-8040075,-4714324,36627249,210,-97.69,-7933554,-398694,500
(주)룽투코리아,60240,Dec-12,15176970,14035608,24405970,-35973733,16197324,24727729,73,3179172,8208646,847430,985840,5658344,1755,13.98,872408,-294192,500
(주)룽투코리아,60240,Dec-13,12893173,9622595,18412083,-24344060,11125416,18467429,50,3322322,7286667,-1413528,-1142541,5944644,1170,-17.77,-1413528,-200971,500
(주)룽투코리아,60240,Dec-14,13892695,9051235,18316686,-27347820,10404328,12942824,56,4520000,7912358,-3007655,-2186333,8340000,1835,-39.21,-3007655,-219363,500
(주)룽투코리아,60240,Dec-15,30683857,38659284,99571250,-26539173,46477377,15367184,66,9490000,53093873,808326,-2561864,18280000,11000,4.16,808326,-273113,500
(주)룽투코리아,60240,Dec-16,30528942,21248938,125601280,-26800043,55251174,71454495,81,9735098,70350105,1899496,6785571,18770196,9270,1.85,2606320,-1551670,500
(주)룽투코리아,60240,Dec-17,79922518,38838228,120692100,-52635540,39130192,52432864,48,12438067,81561908,-36640517,-43830,24176133,7880,-50.85,-33139159,-815517,500
(주)룽투코리아,60240,Dec-18,47685500,5745260,77373851,-36560239,10467514,57526531,51,12438067,66906338,21507233,3676450,24176133,3570,22.56,10567514,-550567,500
(주)룽투코리아,60240,Dec-19,47761478,5368845,79352267,-40631088,5647513,30101838,51,13064642,73704754,1636986,-3098015,25429284,5050,2.34,2154615,-2379,500
(주)룽투코리아,60240,Dec-20,56352149,6738298,83968564,25632764,7147983,52118583,42,13064642,76820581,2862505,194947,25429284,4645,3.8,3118279,-10898,500
(주)룽투코리아,60240,Dec-10,14342236,14156744,29437128,-30046413,18651807,17712166,134,17813625,10785321,-9904225,,34927249,739,-92.98,-7195351,-368314,500
(주)리파인,377450,Dec-17,,,,,,,,,,,,,,,,,
(주)리파인,377450,Dec-16,,,,,,,,,,,,,,,,,
(주)리파인,377450,Dec-19,,,,,,,,,,,,,,,,,
(주)리파인,377450,Dec-20,37732930,10977289,49423769,34736662,13387107,54163513,,1300000,36036662,16067183,20232921,260000,,44.59,20371613,0,5000
(주)리파인,377450,Dec-18,,,,,,,,,,,,,,,,,
(주)링네트,42500,Dec-11,50738719,33369998,54951707,12201726,34683552,71792624,158,5903233,20268155,2155388,4027106,11806466,1800,10.89,2997378,-509599,500
