name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,income,stock_num,stock,roe,ebt,interest,facevalue
알에프에이치아이씨(주),218410,Dec-15,,,,,,,,,,,,,2075,,,,
알에프에이치아이씨(주),218410,Dec-16,,,,,,,,,,,,,1995,,,,
알티전자(주),32290,Mar-09,57136828,53258209,149256840,7588986,92761059,113737046,236,10180000,56495781,128964,5012555,20360000,5430,0.46,174320,0,500
알티전자(주),32290,Mar-10,117356584,94295042,225775272,14038809,149982499,230203886,294,11769467,75792773,6449823,14353079,23538934,5900,9.75,6875229,0,500
얍엑스(주),60230,Dec-14,19699034,38377441,67397665,-4973197,59110126,77093269,186,4344850,8287539,-12421816,-1512434,8689699,3195,-100.18,-12450123,-2392289,500
얍엑스(주),60230,Dec-15,15945907,29904562,57415598,-11539907,39189480,51241483,138,9096296,18226118,-6668592,-1121458,18192591,1785,-50.3,-6110658,-2471339,500
얍엑스(주),60230,Dec-10,21426016,53141412,86129681,6879167,70286801,38357426,168,8694961,15842879,-17054480,,17389921,2550,-107.65,-16978895,-2578483,500
얍엑스(주),60230,Dec-11,24867205,50887911,67513803,-2989991,64206936,46940592,143,12125611,3306867,-17915358,-6850306,24251221,637,-187.11,-17915358,-3175889,500
얍엑스(주),60230,Dec-20,50585875,22174839,88387362,-34339403,28878928,29928992,91,38582288,59508434,-1279160,432567,77164576,1460,-2.25,-1050978,-289586,500
얍엑스(주),60230,Dec-19,59376132,30471545,87603979,-33091679,32568653,36946795,87,35798408,55035326,-1000321,2532980,71596816,1310,-2.29,-663070,-839333,500
얍엑스(주),60230,Dec-09,,,,,,,15,,,,,,265,,,,
얍엑스(주),60230,Dec-16,21888178,30512114,54192149,-19911175,33514747,46181471,115,15596296,20677403,-8649549,177550,31192591,1225,-44.47,-6344630,-1144126,500
얍엑스(주),60230,Dec-13,27264496,54410146,86319149,7748450,69807615,72119356,167,3801521,16511534,4544773,3498079,7603041,4165,36.43,778501,-1265889,500
얍엑스(주),60230,Dec-18,41224754,35574393,70113406,-31963539,37665078,33437512,80,25361497,32448328,-2241908,-992193,50722994,1620,-8.15,-2687127,-1926780,500
얍엑스(주),60230,Dec-12,15115662,34001643,53804549,3176018,45366323,55583649,96,3444680,8438226,3385016,2330496,6889360,2985,57.64,3125131,-2701749,500
얍엑스(주),60230,Dec-17,24092231,30316982,62538155,-29725727,39946428,43605386,133,20661288,22591727,-9347627,-1940435,41322576,1210,-43.21,-9344225,-1151476,500
어보브반도체(주),102120,Dec-17,55207336,9848284,89757486,45935460,15899415,105824401,179,8729827,73858071,-4952775,7541113,17459653,7640,-6.43,-4844431,-37730,500
어보브반도체(주),102120,Dec-19,72451165,14557238,110464995,64057413,20116225,126805890,194,8729827,90348770,13367760,13925855,17459653,7090,15.8,13524877,0,500
어보브반도체(주),102120,Dec-20,105396764,36879089,140074715,74664128,38743863,144189879,204,8729827,101330852,14040744,17621134,17459653,17700,14.65,13642108,-284777,500
어보브반도체(주),102120,Dec-18,60116324,9665263,95153898,52659591,16294805,109543014,181,8729827,78859093,8243727,7761850,17459653,4210,10.8,8539459,0,500
어보브반도체(주),102120,Dec-11,34679414,12420610,65097654,19360408,14873967,67905754,94,8729827,50223687,3361542,4671431,17459653,2835,8.76,4059229,-219424,500
어보브반도체(주),102120,Dec-16,57023252,12979642,98989549,51567759,18752610,103201219,172,8729827,80236940,6950233,9259423,17459653,9210,9.01,7013245,-113803,500
어보브반도체(주),102120,Dec-12,36607366,11561052,70065518,24953675,14457297,73675318,105,8729827,55608221,6015138,7380185,17459653,2765,11.37,5655588,-217028,500
어보브반도체(주),102120,Dec-09,,,,,,,74,,,,,,3705,,,,
어보브반도체(주),102120,Dec-10,24794169,8407885,36093906,16102008,9606903,51174576,93,5979827,26487004,5336754,,11959653,3290,20.15,4900524,-145228,500
어보브반도체(주),102120,Dec-14,44437225,11930118,86739108,38351025,17469685,92016677,175,8729827,69269423,6751652,7157808,17459653,7100,10.16,6379085,-82372,500
어보브반도체(주),102120,Dec-15,47723093,10678308,90290959,45050513,16332956,96919277,178,8729827,73958003,6511573,6509092,17459653,6030,9.09,6637465,-70012,500
어보브반도체(주),102120,Dec-13,44397826,12346584,79915085,32654629,16306018,88348721,142,8729827,63609067,8875828,9321739,17459653,5600,14.89,8295911,-118670,500
어울림네트웍스(주),42820,Dec-10,,,,,,,75,,,,-7933147,,444,,,,
어울림네트웍스(주),42820,Dec-09,23353511,17203375,39362929,-40967844,26948699,16462775,80,10716907,12414231,1058089,-5822344,21433814,530,10.04,1058089,0,500
어울림네트웍스(주),42820,Dec-11,,,,,,,53,,,,,,150,,,,
에스맥(주),97780,Dec-10,77694676,54904444,107606144,29742968,61821217,221482817,154,3715328,45784927,13907668,10220540,7430655,14350,39.34,14070713,-832206,500
에스맥(주),97780,Dec-09,29494502,25274193,53560043,14219528,28631103,148209917,123,3102981,24928940,-1438096,-459200,6205961,5650,-5.61,-1492309,0,500
에스맥(주),97780,Dec-11,122340877,68723176,156458784,63137441,72705238,446499001,183,4125329,83753546,34807635,36948383,8250657,19100,53.74,41884561,-844685,500
에스맥(주),97780,Dec-12,116480313,78819832,193217168,87056759,86236725,485403838,239,8202207,106980443,26760305,35977513,16404414,16800,28.06,33920239,-408427,500
에스맥(주),97780,Dec-13,119123150,87701151,226721377,112587326,93401207,556456126,249,8630265,133320171,27596070,47684109,17260530,11400,22.97,36603479,-999113,500
에스맥(주),97780,Dec-14,75512705,46841191,178606725,98972206,59372056,234948437,217,9058790,119234669,-13902667,-4398793,18117580,4720,-11.01,-12979199,-1161466,500
에스맥(주),97780,Dec-15,67141240,49055748,136686093,55945757,60318246,199648369,142,9058790,76367846,-42839512,-26636900,18117580,2810,-43.8,-44100869,-1066581,500
에스맥(주),97780,Dec-16,81669373,56600621,183228092,52165872,82413503,139482358,93,12159396,100814589,-3986087,-3384440,24318791,6460,-4.5,-5715581,-1005314,500
에스맥(주),97780,Dec-17,89975159,59878560,197749257,60061570,60651762,168217687,89,29915146,137097496,7844283,11280513,149575728,1180,6.59,7844283,-2171689,200
에스맥(주),97780,Dec-18,145950915,74269870,341707805,66942932,104960267,141385799,69,44187655,236747538,8459848,12206028,220938274,1005,4.01,8228412,-3779582,200
에스맥(주),97780,Dec-19,176866282,106454173,349790577,52402079,113821677,168039893,80,46585954,235968900,-13938112,10713375,232929770,1300,-6.43,-13644586,-1511860,200
에스맥(주),97780,Dec-20,227821530,59994720,442201221,82253054,86439009,220136370,84,52229120,355762212,26313784,16745298,261145602,1795,12.75,29086455,-1114158,200
에스엔케이폴리텍(주),91340,Dec-19,128634639,99590410,246706940,50300574,157920154,338044206,95,5851861,88786786,15338586,25689189,11703721,8470,18.89,21543716,-3324190,500
에스엔케이폴리텍(주),91340,Dec-18,89557908,71282164,198180043,36088037,124569819,282148096,102,5851861,73610224,8306747,13529305,11703721,3630,11.67,11817481,-3447837,500
에스엔케이폴리텍(주),91340,Dec-17,97749488,86263994,221931894,28628573,152492040,178587054,81,5851861,69439854,4259530,9830384,11703721,5600,5.92,4339891,-1992978,500
에스엔케이폴리텍(주),91340,Dec-16,71517039,45910789,138261787,25204045,80090759,63430728,75,4368409,58171028,2789334,3586860,8736817,4565,5.36,3768210,-793085,500
에스엔케이폴리텍(주),91340,Dec-15,56687888,7159196,83713742,22219827,34768161,25584533,75,4178223,48945582,1837455,3241604,8356445,3650,3.87,2780136,-426781,500
